倩女幽魂,1987,8.8,837732人评价
新世界,2013,8.9,529989人评价
花样年华,2000,8.8,808269人评价
玩具总动员3,2010,8.9,594776人评价
一个叫欧维的男人决定去死,2015,8.9,571493人评价
色，戒,2007,8.7,964755人评价
完美的世界,1993,9.1,361251人评价
阳光灿烂的日子,1994,8.8,697646人评价
怪兽电力公司,2001,8.8,772859人评价
教父3,1990,9.0,434114人评价
小森林 夏秋篇,2014,9.0,474943人评价
天使爱美丽,2001,8.7,1022867人评价
侧耳倾听,1995,8.9,522154人评价
哪吒闹海,1979,9.2,309491人评价
九品芝麻官,1994,8.8,797153人评价
被解救的姜戈,2012,8.8,695101人评价
请以你的名字呼唤我,2017,8.8,827494人评价
幸福终点站,2004,8.8,644400人评价
釜山行,2016,8.6,1354152人评价
神偷奶爸,2010,8.7,1049775人评价
小森林 冬春篇,2015,9.0,422006人评价
喜宴,1993,9.0,433777人评价
萤火之森,2011,8.8,613431人评价
告白,2010,8.8,746091人评价
玛丽和麦克斯,2009,9.0,472281人评价
七武士,1954,9.3,236856人评价
头号玩家,2018,8.6,1521336人评价
模仿游戏,2014,8.8,722224人评价
惊魂记,1960,9.0,358179人评价
大鱼,2003,8.8,628825人评价
机器人之梦,2023,9.1,442917人评价
心灵奇旅,2020,8.7,1147438人评价
背靠背，脸对脸,1994,9.5,181199人评价
射雕英雄传之东成西就,1993,8.7,720006人评价
血战钢锯岭,2016,8.7,862074人评价
你的名字。,2016,8.5,1598325人评价
我是山姆,2001,9.0,378086人评价
阳光姐妹淘,2011,8.8,640430人评价
恐怖直播,2013,8.7,730699人评价
黑客帝国3：矩阵革命,2003,8.8,499074人评价
末路狂花,1991,9.0,351577人评价
高山下的花环,1984(中国大陆) / 1985,9.5,160804人评价
小丑,2019,8.7,1128355人评价
谍影重重3,2007,8.9,472866人评价
三块广告牌,2017,8.7,923157人评价
电锯惊魂,2004,8.7,615675人评价
无间道2,2003,8.8,569913人评价
达拉斯买家俱乐部,2013,8.8,508206人评价
疯狂原始人,2013,8.7,924225人评价
